"WBIC","lakename","max_area","max_depth","lower_area","lower_depth","depth_change"
1138400,"35i",15.01673889,27,13.515065001,24.2029067393165,2.7970932606835
1831700,"adelaide",57.23088854,21,51.507799686,19.5115354034021,1.48846459659793
2329600,"alder",264.2953848,30,237.86584632,28.3765812099016,1.62341879009844
2449300,"alexander",50.11553426,10,45.103980834,8.60821155184412,1.39178844815588
2165700,"anderson",44.56288578,25,40.106597202,23.1085681861169,1.89143181388311
2449400,"antler",94.02840385,22,84.625563465,19.3744092420795,2.62559075792053
1541500,"arrowhead",96.36182269,43,86.725640421,39.9171958813737,3.08280411862631
2410400,"augustine",171.1245206,10,154.01206854,6.04095588787856,3.95904411212144
2340700,"ballard",502.5889546,25,452.33005914,21.9910332791719,3.00896672082807
1523500,"bearskin",184.0830352,27,165.67473168,24.1799210377891,2.82007896221094
1405200,"bigbass",176.9361856,13,159.24256704,10.5239352921756,2.47606470782436
2453300,"bigbass",201.2364266,27,181.11278394,23.6305979590116,3.36940204098845
1834700,"bigbeaver",15.87439418,43,14.286954762,38.4120022022389,4.58799779776106
1835100,"bigdummy",113.7264379,54,102.35379411,50.6534485831403,3.34655141685974
2314300,"bigmartha",145.6419076,55,131.07771684,53.4568377519212,1.54316224807877
2079000,"bigmoon",186.9944919,48,168.29504271,44.8766919529972,3.12330804700282
2419000,"bigole",87.53011287,30,78.777101583,25.6335691206008,4.36643087939918
1374800,"bigrocheacri",216.5113271,20,194.86019439,15.255266654014,4.74473334598595
1602600,"bigsand",1427.485345,56,1284.7368105,53.6835765577948,2.31642344220523
1835500,"bills",70.17232018,25,63.155088162,21.8150062636087,3.18499373639132
1523800,"birch",197.5104327,27,177.75938943,24.7239621267298,2.27603787327021
2113000,"birch",364.0121439,73,327.61092951,70.220060046703,2.779939953297
2453500,"birchisland",768.0462397,13,691.24161573,10.99692862389,2.00307137611003
2454100,"bluegill",20.0919168,68,18.08272512,63.8609271523179,4.13907284768212
2356800,"bog",38.17352988,9,34.356176892,6.42136635041072,2.57863364958928
1619100,"boot",285.8222182,15,257.23999638,11.9300454704442,3.06995452955579
1836600,"boot",31.33390315,20,28.200512835,18.4822180629668,1.5177819370332
1836700,"boot",87.84146043,44,79.057314387,41.5425950196592,2.45740498034076
2297800,"boot",177.7055474,16,159.93499266,13.4288652725403,2.57113472745972
1537800,"booth",204.1477817,34,183.73300353,29.0514647664291,4.94853523357087
1541300,"brandy",112.7731067,44,101.49579603,40.7668929841578,3.23310701584222
1782700,"bugle",24.57596762,10,22.118370858,9.38201967583846,0.617980324161538
2105800,"butternut",144.9810406,14,130.48293654,10.2815478999528,3.71845210004719
2079400,"camelia",61.82618139,6,55.643563251,4.17695673310647,1.82304326689353
