"WBIC","lake","max_depth","max_vol","vol_pcnt_loss_1ft_depth","depth_change_10pcnt_vol_loss","max_area","area_pcnt_loss_1ft_depth","depth_change_10pcnt_area_loss"
1138400,"35i",27,203.227008508065,6.72871455103738,1.48616796330857,15.01673889,3.57514,2.7970932606835
1831700,"adelaide",21,403.07552712261,13.2446461249816,0.755022059905276,57.23088854,6.71833244999999,1.48846459659793
2329600,"alder",30,2935.96228340467,7.6157297382938,1.31307180580706,264.2953848,6.15983999999999,1.62341879009844
2449300,"alexander",10,286.078262881427,14.3714279457814,0.695825079993906,50.11553426,7.185,1.39178844815588
2165700,"anderson",25,508.302100360992,7.60822871370458,1.31436637570939,44.56288578,5.287,1.89143181388311
2449400,"antler",22,847.491167876589,10.4610601854626,0.955926055553789,94.02840385,3.80866666666666,2.62559075792053
1541500,"arrowhead",43,1892.41996364388,4.67905445831672,2.13718393087424,96.36182269,3.2438,3.08280411862631
2410400,"augustine",10,1168.45790597667,14.380323119924,0.695394666490138,171.1245206,1.20633333333334,3.95904411212144
2340700,"ballard",25,5368.03954156781,8.58472348682563,1.1648598834134,502.5889546,3.32340000000001,3.00896672082807
1523500,"bearskin",27,1453.83718917492,11.9883890614069,0.834140429442019,184.0830352,3.546,2.82007896221094
1405200,"bigbass",13,918.778300326976,18.0911316056548,0.552757020289114,176.9361856,4.03866666666668,2.47606470782436
2453300,"bigbass",27,2966.58715365188,6.51853912005318,1.53408606066913,201.2364266,2.60333333333333,3.36940204098845
1834700,"bigbeaver",43,325.887343048522,4.60570155954079,2.1712218802551,15.87439418,2.17959999999999,4.58799779776106
1835100,"bigdummy",54,1349.8896018266,8.16744765207311,1.22437270809587,113.7264379,2.037,3.34655141685974
2314300,"bigmartha",55,2051.81047636418,5.94826821313099,1.68116158210968,145.6419076,6.4802,1.54316224807877
2079000,"bigmoon",48,4453.52065732781,4.0062654515895,2.49609021689575,186.9944919,3.057,3.12330804700282
2419000,"bigole",30,1285.38408400159,6.41976023234514,1.5576905738031,87.53011287,2.29020000000001,4.36643087939918
1374800,"bigrocheacri",20,2163.53273831217,9.48002041490288,1.05485004908636,216.5113271,2.1076,4.74473334598595
1602600,"bigsand",56,21585.6910947106,5.89938947774952,1.69509065941765,1427.485345,4.31699999999999,2.31642344220523
1835500,"bills",25,868.733186115222,7.44351418480586,1.34345146011982,70.17232018,3.13972360000001,3.18499373639132
1523800,"birch",27,2569.51296176281,6.84238178162812,1.46147939696234,197.5104327,4.3936,2.27603787327021
2113000,"birch",73,9046.68642876425,3.66185491679879,2.73085641763821,364.0121439,3.59719999999999,2.779939953297
2453500,"birchisland",13,4316.55427520595,16.4606084330114,0.607510958097102,768.0462397,4.99233333333334,2.00307137611003
2454100,"bluegill",68,506.05410384576,3.7305032963499,2.68060344827586,20.0919168,2.416,4.13907284768212
2356800,"bog",9,216.179075611853,16.6311020198704,0.601283065190286,38.17352988,3.87802276666666,2.57863364958928
1619100,"boot",15,2578.80381059877,10.5459686192318,0.948229637414608,285.8222182,3.23333333333333,3.06995452955579
1836600,"boot",20,260.139744709606,10.0610421113247,0.993932824189653,31.33390315,6.58856174,1.5177819370332
1836700,"boot",44,1495.37349370313,5.51565331555405,1.81302185396609,87.84146043,4.06933333333334,2.45740498034076
2297800,"boot",16,1805.34442009061,9.26904605583713,1.07885967334282,177.7055474,3.88933333333333,2.57113472745972
1537800,"booth",34,3301.71269560135,5.87071782553182,1.70336921262165,204.1477817,2.0208,4.94853523357087
1541300,"brandy",44,2226.33002121172,4.67374222298765,2.13961308152925,112.7731067,3.093,3.23310701584222
1782700,"bugle",10,74.9727508961418,24.8233348683478,0.40284675902878,24.57596762,16.1817449666667,0.617980324161538
2105800,"butternut",14,1183.53532721323,11.8704507201674,0.842427995005316,144.9810406,2.06466666666667,3.71845210004719
2079400,"camelia",6,270.367746003912,20.9859067968891,0.476510264568714,61.82618139,5.48533333333333,1.82304326689353
2431300,"chippewa",11,1248.77528201486,17.5999846472711,0.568182313815289,281.9427709,14.6976666666667,0.68038010568571
2425700,"christy",10,821.980198625184,13.0907121398076,0.76390038167526,121.8764324,4.68453842,2.13468203341152
1628450,"clair",18,545.263943103552,9.12925471907408,1.09537966764216,51.47568768,3.297,2.77312450346158
1613300,"crooked",13,1055.09293718114,15.1769342425759,0.658894598880648,174.5303912,5.50033333333334,1.8180716320223
2459100,"crooked",10,948.790906891776,16.1720783159468,0.618349713910257,168.0282624,5.78833333333333,1.72761301468471
2459200,"crooked",13,1440.20796632301,15.4377521766599,0.647762697934668,250.3118394,7.451,1.34210173131123
1612500,"crystal",9,585.349301880261,17.8709453664809,0.559567487613508,116.3384406,6.72233333333333,1.48757871770715
1842400,"crystal",67,3195.92652263006,2.77636944051425,3.60182613094451,92.64291244,1.689146,5.44890228579055
1842500,"crystal",46,1510.93238884148,5.63429248096968,1.77484573862218,89.70810038,3.40195990000001,2.93948203210743
2469700,"crystal",22,161.761680743415,8.45063311768832,1.18334329046526,14.32766947,3.06066666666667,3.09991449859533
1842800,"currier",39,321.492457949245,5.49092762494764,1.82118590574127,18.39066567,2.67435483333334,3.52236753250655
2092700,"dark",62,364.209335315182,4.02092019848513,2.48699290370584,16.26324778,3.9812,2.51180548578318
1843500,"day",57,2212.41022967939,4.6333127141059,2.15828298607074,109.9055078,2.69235764,3.71421680813549
1445100,"deepwoods",25,781.753951931145,8.73727151393998,1.14452206092547,71.00241202,2.53366666666668,3.42850763597392
2239100,"deer",18,794.893193589895,15.1273061721733,0.661056230777891,142.5128469,10.4163333333333,0.96003072098307
2460700,"deer",23,1918.93927272777,7.35617438639156,1.35940224833432,152.8050263,3.04819999999999,3.28062463092973
1844400,"delano",15,125.462957345972,9.38639720798814,1.06537149221531,13.53854284,5.20614761999999,1.92080607964013
1844500,"dells",42,1298.7227807068,8.03092024016092,1.24518731365207,109.4891255,3.15996973333333,3.07547838428673
1295400,"delton",16,2437.50297564014,8.15643737678633,1.22602547387424,249.2395494,4.0464,2.47133254250692
2461100,"devils",24,13243.9880484496,7.18675190144018,1.39144917441718,974.9380945,1.58133333333333,5.0611420460749
1537100,"diamond",17,1109.29838865418,9.38822719682149,1.06516382596553,117.2806444,4.4806,2.23184394947105
1844700,"diamond",40,2491.42344605557,4.35307824861464,2.29722495872489,114.8524202,2.22853226,4.4872583536215
1451700,"dynamite",28,1306.96642083868,7.06421369673932,1.41558571545135,100.4454004,3.23299999999999,3.09310238168883
1315000,"eaglenestflowage",12,1344.33955988145,21.1090346089486,0.47373080698635,350.4005025,12.6756666666667,0.788913140663212
1523000,"easthorsehead",26,3053.17069924693,5.90158300739423,1.69446061971352,191.4666162,2.3568,4.24304141208419
2463300,"ellison",18,1512.32938245359,7.6018740679565,1.31546509592314,118.3879714,1.92733333333334,4.48835568101623
1764000,"esadore",36,655.019409423348,6.82630145761453,1.46492211955353,47.5315237,3.95235833333333,2.53013496161574
2130100,"fallcreekpond",10,31.198048917988,27.039289414112,0.369832204051225,14.96280595,29.0813333333333,0.343863188299482
1571100,"fifth",14,1481.16095954365,13.1221003329972,0.762073124441343,237.9843358,7.33239999999999,1.36380993944684
2175700,"finley",30,850.504943357661,6.45527698661472,1.54912020363114,57.98676596,2.12759999999999,4.7001316036849
1849100,"fish",40,1676.410082391,5.82738999589955,1.71603410910141,106.8392236,5.7084342,1.75179386319282
2464400,"fish",7,368.361600643039,20.887619989456,0.478752486163957,83.16971996,4.99199999999999,2.00320512820513
2464500,"fish",29,3420.25196451872,9.318382741834,1.07314759192128,330.1006409,2.29999999999999,3.54601497137825
2307300,"fisher",21,3903.76311973576,9.82805953550193,1.01749485377831,441.2113614,5.2172,1.91673694702139
2343200,"fishtrap",34,5243.53624540428,5.97926150308187,1.67244734067003,339.1014727,3.017,3.31455087835598
2401100,"fishtrap",11,1996.04890336794,12.5292889478871,0.7981298892214,262.603806,3.17666666666667,3.09876024374868
1593800,"found",21,3536.98333482903,9.03918912429171,1.10629392332618,336.3575863,3.29866666666667,3.01725138923447
1572000,"fourth",12,1428.64914092058,13.687951047812,0.73056953265467,252.9495855,9.0764,1.10175840641664
2465700,"george",50,772.995328695374,6.01271770656457,1.66314144252642,49.75568259,4.39166666666667,2.27703984819734
2423000,"ghost",12,2079.925438041,17.2238378802567,0.580590694682677,384.051228,4.48,2.23214285714286
1589300,"gilmore",24,3478.28172771464,8.36361620532891,1.19565505571961,313.5280476,2.88560000000001,3.4654837815359
1851000,"goodman",15,121.842311919936,9.84719008194237,1.01551812413349,13.80442165,5.2342,1.91051163501586
2314100,"grandportage",33,2204.86267180679,6.45721713174463,1.54865475265475,147.4983374,2.31666666666667,3.71370071370071
1764400,"grassyknoll",6,287.002236136228,20.246337039254,0.493916503543916,59.11637357,1.13779366666667,3.38851775442152
2467200,"green",6,1073.94063171925,21.400640467698,0.467275734812421,250.939177,5.608,1.78316690442225
1539700,"gunlock",26,3252.1596119296,7.6372534783374,1.30937123252022,263.8238804,3.90366666666667,2.56169413372043
2150200,"hallie",13,470.335805545445,15.0863427410152,0.662851174182395,78.63694176,6.51133333333334,1.53578376164636
2328400,"hiawthat",59.04,1017.94813562438,3.33822623505372,2.9956028429089,36.28192137,1.933125,5.17297122534756
2344000,"high",36,12844.2560220764,5.47548603290069,1.82632188994963,741.0649349,2.0392,4.90388387602981
1564600,"hilt",64,1430.01566082236,3.97444124818149,2.51607694655834,60.87510888,4.42433333333334,2.26022752957131
1568900,"hixon",28,673.117152341433,7.60878572264541,1.31427015617457,57.50282572,4.3732,2.28665508094759
1588000,"horsehead",11,2824.96200021113,12.4029631132985,0.806258948660258,377.1936946,2.84359999999999,3.51666901111267
1513900,"hultamn",14,1449.72725408376,12.0227304954304,0.831757811073015,181.9201652,2.79366666666668,3.42387747087315
2400600,"hunter",10,668.36848601348,14.891480466484,0.671524904626295,133.6977628,10.2224,0.97824385662858
1249000,"indian",7,282.009700667766,21.7866365358476,0.458996962819205,64.15873797,4.23685,2.112739413368
1598900,"indian",26,3511.59700728127,8.43089715650956,1.18611338916392,354.4493451,6.58939999999999,1.51758885482745
