"WBIC","lakename","max_vol","max_depth","lower_vol","lower_depth","depth_change"
1138400,"35i",203.227008508065,27,182.904307657258,25.5138320366914,1.48616796330857
1831700,"adelaide",403.07552712261,21,362.767974410349,20.2449779400947,0.755022059905276
2329600,"alder",2935.96228340467,30,2642.36605506421,28.6869281941929,1.31307180580706
2449300,"alexander",286.078262881427,10,257.470436593285,9.30417492000609,0.695825079993906
2165700,"anderson",508.302100360992,25,457.471890324893,23.6856336242906,1.31436637570939
2449400,"antler",847.491167876589,22,762.74205108893,21.0440739444462,0.955926055553789
1541500,"arrowhead",1892.41996364388,43,1703.17796727949,40.8628160691258,2.13718393087424
2410400,"augustine",1168.45790597667,10,1051.612115379,9.30460533350986,0.695394666490138
2340700,"ballard",5368.03954156781,25,4831.23558741103,23.8351401165866,1.1648598834134
1523500,"bearskin",1453.83718917492,27,1308.45347025743,26.165859570558,0.834140429442019
1405200,"bigbass",918.778300326976,13,826.900470294278,12.4472429797109,0.552757020289114
2453300,"bigbass",2966.58715365188,27,2669.92843828669,25.4659139393309,1.53408606066913
1834700,"bigbeaver",325.887343048522,43,293.298608743669,40.8287781197449,2.1712218802551
1835100,"bigdummy",1349.8896018266,54,1214.90064164394,52.7756272919041,1.22437270809587
2314300,"bigmartha",2051.81047636418,55,1846.62942872776,53.3188384178903,1.68116158210968
2079000,"bigmoon",4453.52065732781,48,4008.16859159503,45.5039097831042,2.49609021689575
2419000,"bigole",1285.38408400159,30,1156.84567560143,28.4423094261969,1.5576905738031
1374800,"bigrocheacri",2163.53273831217,20,1947.17946448095,18.9451499509136,1.05485004908636
1602600,"bigsand",21585.6910947106,56,19427.1219852395,54.3049093405823,1.69509065941765
1835500,"bills",868.733186115222,25,781.8598675037,23.6565485398802,1.34345146011982
1523800,"birch",2569.51296176281,27,2312.56166558653,25.5385206030377,1.46147939696234
2113000,"birch",9046.68642876425,73,8142.01778588782,70.2691435823618,2.73085641763821
2453500,"birchisland",4316.55427520595,13,3884.89884768535,12.3924890419029,0.607510958097102
2454100,"bluegill",506.05410384576,68,455.448693461184,65.3193965517241,2.68060344827586
2356800,"bog",216.179075611853,9,194.561168050668,8.39871693480971,0.601283065190286
1619100,"boot",2578.80381059877,15,2320.92342953889,14.0517703625854,0.948229637414608
1836600,"boot",260.139744709606,20,234.125770238646,19.0060671758103,0.993932824189653
1836700,"boot",1495.37349370313,44,1345.83614433281,42.1869781460339,1.81302185396609
2297800,"boot",1805.34442009061,16,1624.80997808155,14.9211403266572,1.07885967334282
1537800,"booth",3301.71269560135,34,2971.54142604122,32.2966307873784,1.70336921262165
1541300,"brandy",2226.33002121172,44,2003.69701909055,41.8603869184708,2.13961308152925
1782700,"bugle",74.9727508961418,10,67.4754758065276,9.59715324097122,0.40284675902878
2105800,"butternut",1183.53532721323,14,1065.18179449191,13.1575720049947,0.842427995005316
2079400,"camelia",270.367746003912,6,243.330971403521,5.52348973543129,0.476510264568714
2431300,"chippewa",1248.77528201486,11,1123.89775381338,10.4318176861847,0.568182313815289
2425700,"christy",821.980198625184,10,739.782178762666,9.23609961832474,0.76390038167526
1628450,"clair",545.263943103552,18,490.737548793197,16.9046203323578,1.09537966764216
1613300,"crooked",1055.09293718114,13,949.583643463026,12.3411054011194,0.658894598880648
2459100,"crooked",948.790906891776,10,853.911816202598,9.38165028608974,0.618349713910257
2459200,"crooked",1440.20796632301,13,1296.18716969071,12.3522373020653,0.647762697934668
1612500,"crystal",585.349301880261,9,526.814371692235,8.44043251238649,0.559567487613508
1842400,"crystal",3195.92652263006,67,2876.33387036705,63.3981738690555,3.60182613094451
1842500,"crystal",1510.93238884148,46,1359.83914995733,44.2251542613778,1.77484573862218
2469700,"crystal",161.761680743415,22,145.585512669074,20.8166567095347,1.18334329046526
1842800,"currier",321.492457949245,39,289.343212154321,37.1788140942587,1.82118590574127
2092700,"dark",364.209335315182,62,327.788401783664,59.5130070962942,2.48699290370584
1843500,"day",2212.41022967939,57,1991.16920671145,54.8417170139293,2.15828298607074
1445100,"deepwoods",781.753951931145,25,703.57855673803,23.8554779390745,1.14452206092547
2239100,"deer",794.893193589895,18,715.403874230906,17.3389437692221,0.661056230777891
2460700,"deer",1918.93927272777,23,1727.04534545499,21.6405977516657,1.35940224833432
1844400,"delano",125.462957345972,15,112.916661611375,13.9346285077847,1.06537149221531
1844500,"dells",1298.7227807068,42,1168.85050263612,40.7548126863479,1.24518731365207
1295400,"delton",2437.50297564014,16,2193.75267807613,14.7739745261258,1.22602547387424
2461100,"devils",13243.9880484496,24,11919.5892436046,22.6085508255828,1.39144917441718
1537100,"diamond",1109.29838865418,17,998.36854978876,15.9348361740345,1.06516382596553
1844700,"diamond",2491.42344605557,40,2242.28110145001,37.7027750412751,2.29722495872489
1451700,"dynamite",1306.96642083868,28,1176.26977875482,26.5844142845486,1.41558571545135
1315000,"eaglenestflowage",1344.33955988145,12,1209.90560389331,11.5262691930137,0.47373080698635
1523000,"easthorsehead",3053.17069924693,26,2747.85362932223,24.3055393802865,1.69446061971352
2463300,"ellison",1512.32938245359,18,1361.09644420823,16.6845349040769,1.31546509592314
1764000,"esadore",655.019409423348,36,589.517468481013,34.5350778804465,1.46492211955353
2130100,"fallcreekpond",31.198048917988,10,28.0782440261892,9.63016779594878,0.369832204051225
1571100,"fifth",1481.16095954365,14,1333.04486358928,13.2379268755587,0.762073124441343
2175700,"finley",850.504943357661,30,765.454449021895,28.4508797963689,1.54912020363114
1849100,"fish",1676.410082391,40,1508.7690741519,38.2839658908986,1.71603410910141
